group_name,pNN50,RMSSD,HR_mean,HR_std,lfhf,lf,hf
0-sitting,0.22809364548494984,0.07263711408979832,0.06301838489840406,0.017807879729515082,0.096040742559217,0.4356413879146303,0.3312597512198124
0-maths,0.37183098591549296,0.10031630747028414,0.0822668771989214,0.01605251232002057,0.08609526132387373,0.48974954433742846,0.40679794971904853
1-sitting,0.4206593406593407,0.3552766079893977,0.6644337638512261,0.6758888293664808,0.03938641597055226,0.26391845235173733,0.44235670541555117
1-maths,0.1290743155149935,0.13978576336937873,0.6440454792675401,0.2418340029182842,0.003806013053396455,0.011169422336306814,0.29484303627154024
2-sitting,0.24866562009419152,0.08554181518502194,0.11129510602010302,0.03041161213555624,0.14892622439693767,0.8831155339524043,0.43300774285432575
2-maths,0.256980056980057,0.07587206821572685,0.20042689183695678,0.026549378022597183,0.057265840661284734,0.4874036718010819,0.5670683637592968
3-sitting,0.15093555093555094,0.05561092551693682,0.12081714399982113,0.033806108765695314,0.30044737485484774,0.4873960518175371,0.11015009983390292
3-maths,0.010977130977130978,0.02782201531441586,0.3335858555659186,0.04859669435919142,0.32122837406657406,0.06646279485884873,0.0
4-sitting,0.26248037676609104,0.11765375390558759,0.12053732359306428,0.07819070369201721,0.03089958654252966,0.3426615349601924,0.643875999215313
4-maths,0.19500764136525728,0.0575354287326848,0.133935201443974,0.01903109187878631,0.06721078000670049,0.25626453014620965,0.28465144624118466
5-sitting,0.0846153846153846,0.05092819066127419,0.2354061554192906,0.04519378603007298,0.23675487695615474,0.2507477202927056,0.07116881043197372
5-maths,0.02115384615384615,0.029269454532414824,0.35929663524784944,0.03907012655111713,0.29804667381504757,0.37344118803455134,0.08188499873628474
6-sitting,0.275136476426799,0.07672568621315479,0.1629072028555085,0.048817095690832375,0.1651891065348771,0.827409377557907,0.36741200471776037
6-maths,0.25384615384615383,0.07420562945265337,0.13846888604372704,0.035243046874388624,0.1644146576487719,0.6058051544594011,0.2709117820234523
7-sitting,0.08774928774928774,0.05293154981336072,0.2016060254785312,0.051687194210279605,0.23741251620778137,0.41258386219892823,0.12238247324712302
7-maths,0.005518394648829431,0.022192555701902494,0.3210570702383309,0.05118119535955331,0.12790106446303812,0.07345968416428514,0.05285788927903601
8-sitting,0.11507692307692306,0.052044715203041034,0.12623492049642235,0.032632959047547094,0.5915340949736566,0.7305998460260573,0.07254906266690442
8-maths,0.2292803970223325,0.07109490329733928,0.16730455916854375,0.07660183146289858,0.18431317929563573,0.13209756848562723,0.051461136821312085
9-sitting,0.16826373626373625,0.056994967197469645,0.2680095325921288,0.032542794790775854,0.07766786656646173,0.2342344391926985,0.23234901285962922
9-maths,0.004881656804733728,0.011365723461270266,0.4510736762326031,0.011644741033567428,0.22005890824881746,0.3666252626401558,0.11822150508765665
10-sitting,0.03362200713194091,0.03865987873750577,0.13227874084169303,0.006617359707020481,0.2718515480536809,0.5672532555016558,0.14700345622899155
10-maths,0.08741721854304635,0.041800755964461415,0.13659699760394098,0.008991416033283196,0.18722273069047318,0.5209128189813916,0.20366809646565584
11-sitting,1.0,1.0,0.9727182946593952,1.0,0.023234610217452812,0.0,0.12982990027572616
11-maths,0.9347232207045292,0.8234418386498106,1.0,0.9738598568214417,0.02650179413638736,0.032626112906820465,0.17439508704137116
12-sitting,0.0,0.0038356974683197214,0.6103327185642562,0.011558740873041045,0.4295941145677451,0.6796854492443789,0.10288967542543183
12-maths,0.0,0.0,0.8471663881679408,0.017117732731907618,0.17690360720854953,0.14200103336707348,0.05890888993777104
13-sitting,0.15200368493781666,0.14083727352206818,0.24203877847719407,0.11745080611246998,0.2045375721104,0.6417816744201511,0.2292160485644646
13-maths,0.159391771019678,0.07552713867376074,0.2578774300919019,0.07010146565576224,0.33395658667666106,0.780910403151023,0.16421957636743106
14-sitting,0.3289274106175515,0.08933536032925572,0.07901931604802544,0.023688137447121085,0.08731448909716819,0.6404550809716337,0.515897140611231
14-maths,0.35918367346938773,0.08389695114025021,0.11245782363958608,0.019138013235797183,0.036753699907517465,0.2397911345436699,0.42994273395605453
15-sitting,0.1681528662420382,0.0653499374346254,0.17328167319071588,0.033570519936940865,0.2014563371032571,0.7721649321145779,0.28107987724866734
15-maths,0.03821339950372209,0.034003286413873894,0.33036063741483296,0.038387500158475724,0.23738730132483002,0.4798677931672262,0.14380756190102342
16-sitting,0.11687880464858882,0.05232006230308937,0.07055741799035807,0.014184667737537182,0.41008485047358306,0.8567651595044803,0.14305247623159137
16-maths,0.17531820697288325,0.06414160267806723,0.06676349742340662,0.016180843244330757,0.3503503880640541,0.7716658910176787,0.15326237967684092
17-sitting,0.0588628762541806,0.043680882836997476,0.06040721001980023,0.02069255496422158,0.6465779940653745,0.7216415624205182,0.06234700432114848
17-maths,0.04144427001569859,0.03807991854189488,0.10952317081407655,0.014290386855782137,0.7056514720906781,0.7567164187023797,0.058179223174660746
18-sitting,0.5036307692307692,0.1505442880432807,0.0,0.05649506072696043,0.3358645367412396,1.0,0.2136443387463693
18-maths,0.1815588385124809,0.06301983228037351,0.13598755375193905,0.04046928352437431,0.22724804820540534,0.34533072163553535,0.10665850623742167
19-sitting,0.01362932369643779,0.025936843032657576,0.12268209174624481,0.0042705309972677396,0.14070168095817728,0.5820152136100141,0.3039680791923477
